"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.12.2024","39,89","40,20","41,00","39,56","64,74K","-1,38%"
"26.12.2024","40,45","40,21","40,63","39,92","58,05K","0,32%"
"24.12.2024","40,32","40,18","40,34","39,74","26,10K","0,57%"
"23.12.2024","40,09","40,13","40,35","39,26","77,65K","-0,96%"
"20.12.2024","40,48","39,74","41,01","39,49","259,28K","0,65%"
"19.12.2024","40,22","40,37","40,37","39,33","136,33K","0,40%"
"18.12.2024","40,06","41,14","41,29","39,67","131,37K","-2,48%"
"17.12.2024","41,08","40,73","41,43","40,60","91,00K","0,66%"
"16.12.2024","40,81","40,62","42,13","40,62","161,21K","0,77%"
"13.12.2024","40,50","39,68","40,57","39,42","102,27K","1,86%"
"12.12.2024","39,76","39,99","40,26","39,69","38,10K","-0,50%"
"11.12.2024","39,96","40,06","40,33","39,62","81,74K","0,55%"
"10.12.2024","39,74","39,90","40,24","39,18","63,37K","-0,35%"
"09.12.2024","39,88","39,90","40,26","38,87","175,42K","0,33%"
"06.12.2024","39,75","40,18","40,18","39,28","53,29K","-0,15%"
"05.12.2024","39,81","40,66","40,66","39,75","72,38K","-1,82%"
"04.12.2024","40,55","40,23","40,71","40,08","47,12K","0,32%"
"03.12.2024","40,42","40,20","40,81","39,93","73,07K","-0,12%"
"02.12.2024","40,47","40,70","40,91","39,88","59,74K","-0,20%"
"29.11.2024","40,55","40,83","40,89","40,10","51,40K","0,40%"
"27.11.2024","40,39","40,00","40,59","39,99","97,93K","0,97%"
"26.11.2024","40,00","40,50","40,62","39,77","58,90K","-1,60%"
"25.11.2024","40,65","39,32","40,83","39,32","156,71K","3,67%"
"22.11.2024","39,21","39,24","39,61","38,95","52,88K","0,64%"
"21.11.2024","38,96","38,46","39,34","38,01","67,36K","1,86%"
"20.11.2024","38,25","38,82","38,82","38,03","56,92K","-1,42%"
"19.11.2024","38,80","38,83","39,15","38,48","70,07K","-0,13%"
"18.11.2024","38,85","38,10","38,93","37,80","100,25K","1,97%"
"15.11.2024","38,10","38,48","38,52","37,23","93,48K","-0,13%"
"14.11.2024","38,15","38,79","38,79","38,01","60,15K","-1,09%"
"13.11.2024","38,57","39,63","39,63","38,50","53,38K","-2,35%"
"12.11.2024","39,50","40,04","40,28","39,18","65,54K","-1,10%"
"11.11.2024","39,94","39,80","40,47","39,58","102,63K","1,40%"
"08.11.2024","39,39","39,39","39,68","39,11","78,88K","0,13%"
"07.11.2024","39,34","39,76","39,77","39,10","69,42K","-1,21%"
"06.11.2024","39,82","39,25","39,97","38,76","189,96K","4,87%"
"05.11.2024","37,97","37,28","38,09","37,28","104,97K","1,15%"
"04.11.2024","37,54","36,88","38,19","36,86","114,20K","1,76%"
"01.11.2024","36,89","37,48","37,70","36,17","154,28K","-1,34%"
"31.10.2024","37,39","34,00","38,33","34,00","365,75K","14,48%"
"30.10.2024","32,66","32,58","33,00","32,31","60,63K","0,21%"
"29.10.2024","32,59","32,33","32,78","32,33","35,52K","-0,15%"
"28.10.2024","32,64","32,14","32,90","32,14","52,57K","1,71%"
"25.10.2024","32,09","32,26","32,47","31,93","49,23K","-0,06%"
"24.10.2024","32,11","32,33","32,40","31,70","89,16K","-0,56%"
"23.10.2024","32,29","31,91","32,34","31,75","67,35K","0,91%"
"22.10.2024","32,00","31,87","32,05","31,74","128,80K","-0,28%"
"21.10.2024","32,09","32,26","32,40","31,86","52,71K","-0,80%"
"18.10.2024","32,35","32,40","32,74","32,06","75,36K","0,00%"
"17.10.2024","32,35","31,52","32,36","31,50","83,03K","2,83%"
